#{"t_start": 1773366505.005306, "env_id": "Humanoid-v4"}
r,l,t
201.958601,39,4.928846
113.311977,22,4.941489
185.098219,38,4.96502
146.281677,30,4.983343
83.893575,17,4.994474
129.653865,26,5.010057
83.378373,17,5.018626
83.931725,17,5.027971
154.551228,30,5.045754
116.84429,23,5.059002
89.672236,18,5.06865
89.333823,18,5.07822
141.925232,28,5.095413
83.661248,17,5.105983
148.103212,30,5.123616
160.80954,33,5.14387
138.463743,27,5.161309
175.687537,34,5.182047
150.794951,30,5.201571
182.628909,35,5.224593
116.190428,23,5.238035
108.935648,22,5.251143
173.951004,35,5.272398
121.25885,24,5.287337
100.915263,20,5.298156
94.590199,19,5.308512
98.695199,20,5.319398
127.913572,26,5.336009
83.528658,17,5.34537
83.147448,17,5.355678
141.014198,27,5.370819
106.741421,21,5.383057
208.041753,40,5.414321
214.960406,43,5.441985
83.42628,17,5.451788
83.506344,17,5.461125
196.668934,38,5.485573
118.428134,23,5.4992
118.270895,23,5.514013
106.170387,21,5.527131
94.90003,19,5.538195
93.402214,19,5.549112
88.21001,18,5.55897
88.125407,18,5.568858
88.577803,18,5.579383
135.011754,26,5.595083
125.597046,25,5.610078
108.15277,21,5.622484
106.864024,21,5.634701
87.958614,18,5.64452
122.296021,24,5.659093
102.967084,20,5.670489
129.319408,25,5.687239
163.223209,35,5.708866
129.422517,26,5.724767
157.898268,33,5.7477
210.999023,43,5.77444
94.46637,19,5.785969
106.656979,21,5.798923
144.439375,28,5.817239
141.827348,28,5.833329
164.406915,33,5.852374
95.796513,19,5.862833
160.522545,32,5.882494
178.753345,34,5.903332
88.945619,18,5.913081
253.658995,51,5.945619
203.4791,40,5.97038
95.2994,19,5.980696
138.138699,27,5.997101
122.132822,24,6.010605
107.535953,21,6.022845
96.031872,19,6.034289
129.543613,26,6.049602
115.39353,23,6.063113
118.897149,23,6.076722
94.489237,19,6.087791
88.478133,18,6.097559
88.990135,18,6.107112
113.747294,22,6.119341
126.384103,25,6.135102
180.687105,36,6.156548
103.957539,21,6.167941
115.801464,23,6.182607
94.214235,19,6.193293
95.048327,19,6.204429
133.142248,26,6.219239
166.27251,34,6.241173
130.911054,26,6.257114
108.034663,21,6.269111
145.611612,31,6.288215
142.976894,28,6.306392
100.085009,20,6.317611
83.459015,17,6.326879
111.269116,22,6.339101
118.731186,23,6.351944
106.838532,21,6.365282
155.331816,30,6.384374
95.636928,19,6.395585
112.013123,22,6.408604
137.05057,27,6.425986
83.469668,17,6.435771
159.680715,33,6.457515
88.653496,18,6.468802
112.419732,22,6.48157
83.214231,17,6.490945
95.238347,19,6.501412
104.494155,21,6.513434
166.343666,32,6.535628
101.922364,20,6.546819
93.738378,19,6.557542
211.271683,43,6.585575
151.462918,29,6.602508
94.715656,19,6.612923
184.586711,36,6.634126
101.187852,20,6.646076
100.563068,20,6.657569
89.373872,18,6.667457
88.658101,18,6.676808
108.415156,22,6.689573
183.097274,35,6.711983
83.584223,17,6.721586
100.279856,20,6.732612
89.810992,18,6.742809
88.300114,18,6.75289
165.340136,33,6.773383
101.238666,20,6.784719
139.670833,27,6.801795
111.605562,22,6.81427
154.362811,30,6.832394
116.068034,23,6.844985
142.28938,28,6.862415
95.503173,19,6.873434
137.192382,27,6.891517
118.817431,23,6.90591
112.411502,22,6.919643
99.314198,20,6.931263
134.525338,27,6.946528
101.42596,20,6.958537
89.359432,18,6.96947
135.171293,27,6.986028
127.199756,25,7.002611
95.208333,19,7.01358
94.984331,19,7.025207
83.094367,17,7.035922
102.081362,20,7.048518
142.007721,27,7.064561
83.370499,17,7.075129
78.630549,16,7.084685
124.343735,24,7.099011
170.818321,33,7.118654
128.848566,25,7.614935
93.268036,19,7.874136
101.528064,20,8.146134
118.297466,23,8.447381
209.017966,43,9.029772
137.402866,28,9.403046
92.980175,19,9.676107
95.941696,19,9.921248
89.045848,18,10.15708
98.461281,20,10.414375
104.93502,21,10.687609
107.188115,21,11.014802
142.690766,28,11.476107
88.07457,18,11.72421
83.45854,17,11.945971
109.925703,23,12.246016
93.635238,19,12.494463
116.298755,23,12.787899
83.546383,17,13.014664
83.438892,17,13.235457
83.266779,17,13.458598
78.315738,16,13.667808
83.437084,17,13.894055
83.392548,17,14.125331
83.354537,17,14.344842
91.183215,18,14.601985
88.425692,18,14.847512
78.352849,16,15.058618
83.280082,17,15.274584
83.162995,17,15.495369
83.847265,17,15.724474
83.62559,17,15.938444
83.346495,17,16.160677
83.346305,17,16.38404
87.023241,18,16.643284
78.800564,16,16.868043
82.989502,17,17.100054
83.372948,17,17.327956
83.399497,17,17.558101
83.389423,17,17.776352
89.739482,18,18.0092
83.307551,17,18.252102
78.344517,16,18.480021
83.461853,17,18.7018
83.551652,17,18.937947
88.930575,18,19.175997
84.662392,17,19.410731
83.29979,17,19.652285
83.391373,17,19.911952
78.26513,16,20.155748
83.125475,17,20.38357
78.477845,16,20.642989
83.247071,17,20.866569
102.179707,20,21.179851
88.713023,18,21.450581
111.378542,22,21.790922
78.223736,16,22.019749
83.19234,17,22.256216
83.425516,17,22.504376
83.376199,17,22.759215
90.146287,18,23.085002
106.508081,21,23.414369
83.168908,17,23.647802
115.853456,23,23.989499
94.85228,19,24.282948
78.598821,16,24.520236
88.230743,18,24.860023
83.228556,17,25.17738
101.724097,20,25.511156
78.433378,16,25.768536
88.587435,18,26.026213
83.440578,17,26.297478
140.515828,28,26.678183
101.380414,20,26.954039
129.017112,26,27.327803
88.758887,18,27.560306
157.438186,31,27.99199
113.562702,22,28.276548
103.406638,20,28.543411
146.572914,29,28.946762
96.04267,19,29.199269
138.582838,29,29.586325
189.16126,37,30.107504
136.187051,26,30.486858
175.629622,34,30.963994
147.069684,28,31.42778
144.485858,28,31.893406
277.650786,51,32.707526
151.601568,29,33.136146
