#{"t_start": 1773404247.716458, "env_id": "Humanoid-v4"}
r,l,t
128.213013,25,0.612329
113.051524,22,0.626923
114.822955,23,0.6428
150.634591,29,0.664801
88.546931,18,0.70236
83.80962,17,0.71439
155.37888,30,0.736737
158.098749,31,0.75962
83.683028,17,0.770349
114.782707,23,0.785021
121.520418,24,0.79955
104.746122,21,0.81355
133.070863,26,0.829202
136.237798,26,0.845201
147.883782,30,0.864748
111.401133,23,0.879218
83.260679,17,0.888716
101.277586,20,0.900281
125.740501,25,0.914748
153.810752,30,0.933452
122.580159,24,0.947515
144.725445,28,0.964061
105.629779,21,0.97704
127.86055,25,0.994074
95.906646,19,1.004634
122.439493,24,1.018504
105.226558,21,1.03032
100.390374,20,1.041921
127.187064,25,1.057432
109.897383,22,1.069922
158.158598,31,1.096185
225.493366,46,1.139806
116.393009,23,1.157545
155.513505,31,1.181226
115.483954,22,1.199014
94.653984,19,1.212702
119.979171,23,1.229522
106.838127,21,1.244623
83.35569,17,1.256723
110.997863,22,1.275659
139.131387,30,1.301995
106.014396,21,1.318634
128.081864,25,1.339118
118.947528,23,1.355321
113.755486,22,1.370801
100.880488,20,1.383674
211.111933,41,1.412969
101.545388,20,1.424765
105.278238,21,1.437488
83.510098,17,1.447103
99.955687,20,1.458883
216.598583,43,1.487946
95.308324,19,1.499118
152.621177,29,1.517157
89.027486,18,1.528007
88.11205,18,1.53851
140.335439,29,1.556269
107.328042,21,1.567881
94.91082,19,1.579339
111.246431,22,1.59267
89.708473,18,1.603464
111.896477,22,1.616738
133.389019,27,1.633313
95.783012,19,1.644791
131.017851,26,1.660559
223.33688,44,1.688862
78.431945,16,1.697813
112.457268,22,1.709931
83.299437,17,1.719294
101.182837,20,1.730427
109.160931,22,1.742503
165.857736,32,1.762837
181.682361,36,1.784745
160.866321,33,1.804512
90.382664,18,1.814755
180.548203,35,1.835759
127.588612,25,1.850434
148.609718,29,1.867646
122.010868,24,1.882549
89.413746,18,1.892806
291.517897,58,1.928141
117.974823,23,1.942897
106.929386,21,1.955184
101.594303,20,1.967706
94.806888,19,1.978771
88.241146,18,1.990832
121.399267,24,2.005761
132.224766,26,2.022024
117.61491,23,2.036193
195.106785,38,2.059219
133.334324,27,2.075547
119.269317,23,2.088929
178.291546,35,2.110211
95.102468,19,2.120616
83.349057,17,2.130288
152.122383,29,2.148421
112.698202,22,2.161824
94.804168,19,2.172286
83.611014,17,2.181312
96.888834,19,2.192447
98.763179,20,2.204753
138.070922,27,2.221164
88.366961,18,2.231246
161.377756,32,2.250514
170.24131,33,2.271651
89.266752,18,2.281529
94.872597,19,2.29295
167.205764,32,2.312548
83.361568,17,2.322262
123.541529,26,2.33659
213.275203,42,2.365141
144.265211,28,2.381837
94.414599,19,2.392194
118.492598,24,2.406396
155.790741,32,2.427313
88.411868,18,2.437566
229.870745,47,2.467503
88.541462,18,2.479032
105.365388,21,2.492123
83.341955,17,2.502133
145.700679,28,2.52091
111.384373,22,2.536096
99.943232,20,2.549204
225.99333,43,2.58007
123.509084,24,2.595933
138.275725,27,2.613368
179.50382,36,2.641861
150.634959,29,2.660704
117.008711,24,2.676011
112.244906,22,2.690078
104.01664,21,2.703914
104.798878,21,2.717259
93.669266,19,2.729758
88.383088,18,2.740182
156.94187,31,2.761158
94.017168,19,2.772385
126.007634,25,2.78801
101.172767,22,2.801386
128.342548,25,2.816504
115.076266,23,2.831129
88.847469,18,2.841912
94.864325,19,2.853489
103.540894,21,2.86617
88.292776,18,2.876888
111.041363,22,2.890119
83.339078,17,2.899824
117.551122,23,2.914039
162.412722,32,2.933856
145.378654,28,2.950986
119.92407,24,2.964171
122.987894,24,2.980367
140.325442,27,2.996527
96.255707,19,3.007675
112.517533,22,3.022698
94.844829,19,3.035014
94.28491,19,3.046697
113.230405,22,3.060732
106.327879,21,3.072617
96.11272,19,3.084034
83.402246,17,3.095013
88.601516,18,3.10736
164.590942,34,3.132635
99.757764,20,3.146026
139.660461,27,3.164458
173.401313,36,3.189531
177.077255,37,3.216005
96.33867,19,3.229163
235.574763,47,3.261631
83.543019,17,3.271509
149.434338,29,3.289606
88.504244,18,3.300299
100.736825,20,3.312174
119.039602,24,3.327414
107.47208,22,3.340379
172.785391,34,3.362929
116.264423,23,3.37784
137.385478,29,3.395261
100.795032,20,3.406384
130.534701,26,3.422505
118.529742,24,3.436666
94.336898,19,3.447654
110.342593,22,3.460904
174.068267,34,3.482692
88.491367,18,3.494565
89.865749,18,3.506637
134.613322,26,3.523312
107.27465,21,3.536925
159.084853,32,3.558244
148.591596,31,3.579323
89.280734,18,3.589704
83.509262,17,3.603448
140.84105,28,3.625692
123.011538,25,3.643889
130.671066,26,3.662595
83.17451,17,3.674233
145.207864,29,3.695656
108.597326,22,3.709752
138.950657,27,3.728055
90.225881,18,3.739924
102.136961,20,3.75377
176.93935,37,3.778407
118.367802,24,3.793251
89.20764,18,3.803735
88.710462,18,3.814711
109.143023,21,3.827493
161.567407,34,3.848941
115.040154,23,3.863301
83.631536,17,3.87291
89.441051,18,3.884091
180.72674,37,3.906754
130.711904,26,3.922418
132.750713,26,3.9374
180.790623,35,3.958401
125.165062,25,3.971944
78.48759,16,3.981572
94.907836,19,3.992802
126.74913,25,4.008446
106.433112,21,4.020492
89.147805,18,4.030706
158.142067,31,4.049763
107.271202,21,4.063741
146.60834,28,4.082698
184.545789,38,4.112024
83.510913,17,4.122414
88.645,18,4.132726
88.718666,18,4.143415
111.783219,22,4.157783
148.729005,28,4.177876
111.500514,22,4.192995
178.267264,35,4.221582
226.634703,45,4.254037
127.367286,25,4.2704
83.406215,17,4.280642
100.839622,20,4.293388
102.104421,20,4.306222
136.565926,27,4.324746
138.809795,28,4.342291
107.609466,21,4.354587
93.874614,19,4.366053
190.789481,41,4.393513
131.792306,26,4.409675
129.383625,26,4.425209
154.150466,31,4.444553
171.333172,33,4.465611
78.579531,16,4.475077
90.007845,18,4.485622
150.450902,30,4.504249
153.621079,30,4.525134
101.123571,20,4.53894
95.429919,19,4.550533
90.01265,18,4.5619
88.252089,18,4.575713
102.224895,20,4.590161
149.037433,30,4.612068
144.525287,29,4.631747
99.896464,20,4.645379
208.424825,43,4.675489
105.490102,21,4.689703
