#{"t_start": 1773405817.882109, "env_id": "Humanoid-v4"}
r,l,t
143.692043,29,0.997664
101.351772,20,1.010523
88.493751,18,1.022567
132.25846,27,1.041923
116.481379,23,1.084475
136.641702,26,1.103721
105.510055,21,1.119863
104.851776,21,1.134416
113.793667,23,1.150641
107.787744,21,1.164374
89.850315,18,1.177023
94.39673,19,1.188449
112.467458,22,1.201552
151.052763,30,1.219206
83.398236,17,1.229817
107.101205,21,1.243131
83.40251,17,1.253267
95.617519,19,1.263813
94.353253,19,1.274035
169.263643,33,1.295788
121.534624,24,1.311045
95.888599,19,1.322008
117.701875,24,1.34227
89.075152,18,1.354085
88.322446,18,1.366708
134.53605,27,1.38552
88.146175,18,1.396824
167.987701,34,1.419218
152.616715,30,1.437577
111.731719,22,1.450201
177.81764,35,1.473239
136.158655,27,1.490214
196.359823,39,1.514855
175.898561,37,1.539232
83.4461,17,1.548754
99.092121,20,1.560027
83.677578,17,1.569636
89.854544,18,1.579155
83.468374,17,1.588492
112.239326,22,1.601831
132.350526,27,1.618553
105.096734,21,1.630675
83.49049,17,1.640698
105.030437,21,1.653673
83.578475,17,1.663696
155.117216,31,1.681642
93.938862,19,1.692655
146.025517,28,1.712199
89.315935,18,1.72281
117.035921,23,1.735577
88.793129,18,1.744982
119.031709,23,1.758549
143.309032,28,1.77554
167.676275,34,1.796233
88.649098,18,1.806972
152.555307,29,1.824673
99.39987,20,1.835803
157.021321,31,1.853722
88.620446,18,1.864245
94.231864,19,1.875865
83.446004,17,1.885352
140.699312,29,1.901924
100.603691,20,1.913113
104.834992,21,1.925957
164.977285,35,1.948789
155.447282,30,1.967895
124.322488,25,1.983294
89.580288,18,1.993358
215.586175,45,2.021973
111.299528,22,2.035569
145.177855,28,2.059211
140.644516,28,2.078111
160.409014,33,2.099639
95.362424,19,2.111593
177.870235,34,2.13579
156.413571,30,2.155993
212.88952,41,2.184099
131.106982,25,2.200336
83.483662,17,2.210399
113.356218,23,2.224899
95.929586,19,2.236283
130.263978,27,2.252683
132.585803,27,2.269103
117.288356,23,2.283812
105.620737,21,2.29703
180.250371,37,2.321095
182.193944,35,2.343883
139.369581,27,2.359672
105.256017,21,2.372767
88.80587,18,2.382414
218.496813,44,2.410437
100.493065,20,2.426899
98.758675,20,2.441876
174.01186,35,2.465819
151.30731,30,2.490298
225.526132,43,2.523733
105.94455,21,2.537314
95.150453,19,2.549
94.710877,19,2.560857
121.804412,24,2.576913
95.795385,19,2.589965
94.242035,19,2.602267
131.735795,27,2.621122
88.837159,18,2.634171
153.446462,30,2.655034
159.651971,33,2.676122
181.008206,37,2.700082
83.361473,17,2.709923
127.31586,25,2.72766
133.411313,26,2.743817
99.228676,20,2.756612
148.214588,29,2.774423
101.404879,20,2.786024
90.025074,18,2.79567
146.478735,29,2.813818
88.371928,18,2.82384
96.130953,19,2.835014
90.15965,18,2.844793
89.348177,18,2.85449
200.634087,40,2.882133
176.628711,34,2.905678
162.342613,32,2.928154
118.141154,23,2.945508
107.791486,21,2.959757
100.457058,20,2.97318
243.12497,49,3.01127
125.241128,25,3.030589
146.773816,28,3.053402
88.338391,18,3.065877
166.151048,32,3.094328
89.184497,18,3.107585
102.432044,20,3.121434
102.973473,20,3.136244
101.01937,20,3.150325
125.071519,25,3.168984
94.737235,19,3.182347
140.209809,27,3.201055
118.155185,23,3.215789
101.579916,20,3.228056
112.704205,22,3.251728
83.430129,17,3.264759
121.446357,24,3.282344
89.074693,18,3.295066
115.063268,23,3.312015
89.206187,18,3.324935
106.368848,21,3.338608
112.841802,22,3.352346
153.914787,30,3.373044
210.371959,40,3.400495
88.629957,18,3.410562
139.486269,27,3.428773
174.743953,34,3.450702
123.852853,26,3.468011
94.780266,19,3.479587
83.628287,17,3.489477
131.228026,26,3.505294
153.63099,31,3.524429
182.750183,36,3.547379
115.187423,23,3.561542
142.857895,28,3.579534
95.344716,19,3.590523
212.720841,41,3.618113
88.937025,18,3.628544
139.642141,28,3.647218
167.323699,32,3.668098
84.154757,17,3.677375
173.31752,36,3.702248
88.830229,18,3.712187
90.710417,18,3.723121
94.144407,19,3.734056
88.194654,18,3.743663
121.656549,24,3.758791
148.603401,29,3.777952
132.958761,26,3.79354
147.969934,30,3.811752
125.855745,25,3.826612
88.253008,18,3.836723
170.664291,34,3.857156
90.610442,18,3.867975
147.434718,29,3.88589
165.350392,32,3.905703
121.93052,24,3.919618
209.294212,43,3.947901
253.401407,48,3.977056
78.817943,16,3.988147
90.57455,18,4.001133
147.162327,29,4.021645
100.825642,20,4.037246
141.629988,28,4.06314
132.341849,26,4.083021
146.108045,28,4.104841
104.025349,21,4.120092
102.351966,20,4.134981
106.148616,21,4.150488
88.719756,18,4.1642
278.16761,57,4.209998
122.382458,24,4.250187
89.456254,18,4.282999
190.799268,41,4.323927
116.214881,23,4.339814
95.715741,19,4.353722
178.398634,35,4.380603
122.112853,24,4.398814
139.46033,27,4.419563
141.572233,27,4.441465
112.169469,22,4.459577
141.11932,27,4.481162
88.574664,18,4.494476
95.241263,19,4.50852
89.677114,18,4.521343
109.961213,22,4.536718
95.82251,19,4.549875
107.014678,21,4.565398
150.228196,29,4.586266
88.361353,18,4.598185
83.509108,17,4.608865
105.16633,21,4.624315
84.29354,17,4.635196
122.352232,25,4.650988
116.896146,23,4.665721
137.261769,26,4.681631
123.094969,24,4.696783
197.531719,38,4.722736
159.764297,31,4.74193
112.623949,22,4.755834
95.256172,19,4.766628
134.752399,26,4.783268
83.229964,17,4.793383
99.433521,20,4.807891
109.987053,22,4.822531
160.79875,34,4.846479
94.436364,19,4.858117
83.585661,17,4.870417
128.690279,26,4.886367
217.703888,41,4.914969
95.434405,19,4.926115
94.211145,19,4.937656
83.713475,17,4.946567
113.172464,23,4.959175
131.550213,25,4.97417
100.954318,20,4.986669
119.477831,24,5.000504
170.611026,33,5.02157
118.436117,23,5.034885
101.025322,20,5.046367
109.244095,21,5.059227
100.604235,20,5.070732
106.467483,21,5.085587
105.314728,21,5.098229
131.899927,26,5.113069
217.339092,42,5.14003
132.245334,26,5.156113
154.15258,30,5.173966
156.925878,31,5.192764
88.821356,18,5.203199
111.854328,22,5.216034
118.411182,23,5.230137
94.033369,19,5.240465
90.1206,18,5.250528
83.236493,17,5.260616
117.398284,23,5.275836
137.03687,26,5.291583
95.361265,19,5.302857
171.706512,34,5.323645
96.103633,19,5.334648
126.367352,25,5.34905
89.541833,18,5.358675
89.498189,18,5.369621
110.375816,22,5.383184
116.139156,23,5.397308
94.023026,19,5.408219
101.093078,20,5.420284
115.798417,24,5.434231
98.901188,20,5.445158
134.151722,27,5.461481
83.456725,17,5.471118
95.22776,19,5.48346
100.122242,20,5.494404
119.769165,24,5.509122
98.946322,20,5.522536
134.410896,26,5.537918
94.386728,19,5.548053
176.081587,37,5.572402
112.761192,22,5.585632
127.490496,25,5.600714
174.586218,36,5.622072
94.766574,19,5.633544
83.26425,17,5.64261
88.349791,18,5.653278
83.619209,17,5.661908
123.820779,24,5.675297
162.972625,33,5.697305
112.745927,23,5.710703
88.277665,18,5.720034
189.108269,36,5.742351
125.07417,24,5.756082
83.344202,17,5.765591
136.678511,27,5.781154
160.927462,35,5.803847
182.515577,35,5.826258
101.044125,20,5.837916
